Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
03-JUN-2019,16159.5,16391,16082.8,16360.55,28151209,2085.29
04-JUN-2019,16276.8,16285.85,16072.9,16105.2,35764516,2294.56
06-JUN-2019,16155.8,16159.75,15991.4,16012.1,31264718,2276.8
07-JUN-2019,16042.3,16155.05,15972.75,16109.85,29098049,1474.48
10-JUN-2019,16176.85,16381.65,16152.2,16362.4,24741844,1540.38
11-JUN-2019,16406.25,16488.65,16380.5,16448.1,30617086,2001.59
12-JUN-2019,16441.75,16446.95,16283.65,16425.95,29518108,1974.22
13-JUN-2019,16340.05,16421.8,16282.65,16316.6,24126342,1762.19
14-JUN-2019,16326.7,16336.1,16239.2,16268.2,26301593,1596.98
17-JUN-2019,16285,16313.55,16190.9,16228.2,21959319,1109.81
18-JUN-2019,16215.7,16352.4,16212.3,16322.5,31939866,1484.82
19-JUN-2019,16358.75,16391.5,16215.95,16282.7,29330912,1498.99
20-JUN-2019,16039,16338.75,15994.95,16316.9,33530558,1839.08
21-JUN-2019,16343.35,16358.95,16154.85,16189.4,44927711,3091.21
24-JUN-2019,16202.4,16231.6,16142.4,16187.4,16349337,1110.19
25-JUN-2019,16158.8,16252.95,16050.6,16214.45,19774495,1105.27
26-JUN-2019,16152.7,16255.2,16079.2,16101.7,28695169,1489
27-JUN-2019,16096.2,16129.4,15946.65,15991.8,41146293,2572.62
28-JUN-2019,16069.9,16085.4,15904.8,15936.45,37902286,1738.31
01-JUL-2019,15982.7,16023.55,15893.55,15916.7,16679967,1326.11
02-JUL-2019,15952.9,16096.95,15886.45,16074.1,16987207,1325.34
03-JUL-2019,16091.1,16097.15,15906.4,15927.65,16757982,1228.16
04-JUL-2019,15901.45,15992.6,15896.9,15942.4,12823195,975.14
05-JUL-2019,15960.85,15979.45,15520,15550.05,20473922,1815.96
08-JUL-2019,15410.85,15480.15,15317.4,15376,26980287,2171.23
09-JUL-2019,15381.35,15434,15123.6,15254.5,23588410,2235.38
10-JUL-2019,15077,15322.75,15045.1,15168.6,23946977,2479.96
11-JUL-2019,15256.55,15258.35,15060.9,15214.25,20376482,1611.96
12-JUL-2019,15227.6,15293.35,15186.1,15227.4,24358006,1667.36
15-JUL-2019,15516.25,15697.45,15406.25,15662.05,44809100,3590.4
16-JUL-2019,15608.75,15630.6,15532.3,15580.45,25114991,1971.09
17-JUL-2019,15602.7,15708.8,15508.95,15675.95,31073297,2317.2
18-JUL-2019,15554.9,15636.85,15455.05,15498.45,51334929,3196.92
19-JUL-2019,15520.7,15611.6,15363.05,15383.65,24071564,1841.28
22-JUL-2019,15387.45,15494.05,15334.6,15448.25,21199392,1587.46
23-JUL-2019,15497.55,15645.7,15467.7,15493.4,26632051,2297.48
24-JUL-2019,15465.8,15531.85,15332.85,15380.75,20116466,1691.8
25-JUL-2019,15383.15,15510.6,15343.05,15474.65,28335619,2244.21
26-JUL-2019,15442.5,15461.65,15265.35,15348.05,17995198,1342.96
29-JUL-2019,15365.1,15528.1,15297,15400.85,17712106,1385.39
30-JUL-2019,15409.45,15527.5,15361.45,15501.65,24391431,2007.89
31-JUL-2019,15437.6,15649.15,15303.7,15620.2,30797834,2375.5
01-AUG-2019,15576.95,15593.55,15277.75,15332.1,39775850,2412.6
02-AUG-2019,15277.65,15461.05,15208.8,15422.1,25330329,1990.95
05-AUG-2019,15349.7,15544.9,15312.55,15518.55,26873535,2040.86
06-AUG-2019,15479.2,15636.5,15434.25,15514.8,29684463,2245.01
07-AUG-2019,15591.15,15730.7,15522.85,15583.35,21314090,1700.24
08-AUG-2019,15677.45,15919.2,15654.45,15867.95,26614771,2207.8
09-AUG-2019,15898,15945.4,15785.75,15821.35,32476723,1607.22
13-AUG-2019,15809.25,15822.4,15379.6,15424.4,18332921,1498.48
14-AUG-2019,15467.35,15518.45,15298.5,15466.25,20443965,1493.56
16-AUG-2019,15547.4,15552.7,15238.55,15365.35,21253923,1861.03
19-AUG-2019,15420.05,15514.9,15396,15415.15,13489446,986.72
20-AUG-2019,15503.8,15691.65,15467.35,15597.75,27155209,1957.88
21-AUG-2019,15598.5,15680.05,15562,15578.15,17085453,1255.89
