Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
02-JUN-2020,14358,14492.3,14269.7,14422.4,34083952,2261.96
03-JUN-2020,14507.25,14549,14317.2,14361.7,40000346,2731.28
04-JUN-2020,14380.85,14695.1,14380.85,14627.45,44632910,3082.88
05-JUN-2020,14715.9,14732.85,14599.75,14627.45,38692339,2609.33
08-JUN-2020,14824.75,14990.25,14713.45,14894.6,48671642,2816.95
09-JUN-2020,14869.4,14983.2,14712.3,14737.8,39022707,2561.39
10-JUN-2020,14774.8,14882.6,14690.9,14842.05,39353796,2968.19
11-JUN-2020,14823.95,14840.65,14585.45,14619.45,34682725,2353.17
12-JUN-2020,14125.8,14442.65,14123.55,14402.75,35505375,2289.58
15-JUN-2020,14444.25,14571.95,14238.05,14396.7,35512340,1997.35
16-JUN-2020,14634,14667.4,14375.5,14450.8,32450686,2043.06
17-JUN-2020,14418.8,14559.55,14382.95,14478.45,36461423,2103.24
18-JUN-2020,14478.65,14623.95,14443,14551.25,23438227,1492.76
19-JUN-2020,14532.7,14625.8,14422.45,14499.8,58724892,4170.45
22-JUN-2020,14537.8,14550.35,14432.45,14463.65,27930417,1934.37
23-JUN-2020,14398.45,14725.4,14320.7,14680.4,45654691,3020.83
24-JUN-2020,14675.7,14761.2,14547.2,14581.45,36295639,2333.26
25-JUN-2020,14486.4,14590.5,14383.6,14411.2,36328156,2531.24
26-JUN-2020,14496.7,15086,14476.45,14994.65,70776175,5254.07
29-JUN-2020,14874.2,14979.2,14737.45,14768,28115701,2147.16
30-JUN-2020,14812.7,14854.4,14692.45,14754.3,25878721,2039.72
01-JUL-2020,14767.35,14842.85,14704.5,14732.1,19829830,1564.9
02-JUL-2020,14803.5,15195.2,14782.45,15122.55,41173275,3146.05
03-JUL-2020,15164.25,15336.85,15148.5,15285.9,27211456,2327.43
06-JUL-2020,15351.7,15580.5,15351.7,15464.95,31946250,2782.25
07-JUL-2020,15528.05,15806.85,15440.1,15784.95,51583702,4486.42
08-JUL-2020,15765,15765.05,15473.5,15513.65,28423066,2211.59
09-JUL-2020,15572.35,15663.45,15468.4,15535.95,26614822,2229.82
10-JUL-2020,15471.7,15656.05,15417.5,15565.2,27603484,3274.04
13-JUL-2020,15643.1,15885.55,15624.8,15819.2,44758097,3124.51
14-JUL-2020,15779.5,15941.65,15611.85,15640.55,42035185,2928.32
15-JUL-2020,15853.8,16624.65,15830.5,16459.8,193789507,9354.32
16-JUL-2020,16971.25,17491.15,16715.75,16926.05,190528467,14568.34
17-JUL-2020,16936.95,16975.2,16693.35,16821.35,88190381,6649.48
20-JUL-2020,16880.35,17376.15,16849.15,17258.3,61171408,4374.91
21-JUL-2020,17453.35,17514.05,17219.7,17273.2,63696830,3872.17
22-JUL-2020,17317.3,17321.7,16978.4,17076.05,38314440,3023.55
23-JUL-2020,17071.8,17082.55,16949.15,17045.2,35746371,2771.82
24-JUL-2020,16944.55,17322.7,16944.55,17286,75742251,5581.95
27-JUL-2020,17323,17735.65,17290.55,17626.75,65300353,5517.08
28-JUL-2020,17647.9,18103.65,17634.4,18042.75,74553839,6643.21
29-JUL-2020,17959.8,18108.7,17783.3,17880.5,45738746,4483.19
30-JUL-2020,17995.25,18252.7,17967.2,18003.55,63655744,5246.84
31-JUL-2020,18166.3,18353.5,17909.3,18071.85,47148830,4032.42
03-AUG-2020,18099.4,18140.85,17840.3,17965.8,33148225,3041.81
04-AUG-2020,18029.4,18092,17716.4,17808,36316763,3078.18
05-AUG-2020,17889.55,18139.25,17818.15,17869.8,35461274,3470.39
06-AUG-2020,18009.7,18222.8,17943.85,18188.75,43928212,4212.55
07-AUG-2020,18182.3,18182.3,17977.7,18004.15,32147519,2882.29
10-AUG-2020,18090.25,18205.25,18016.8,18159.55,25995789,2429
11-AUG-2020,18202.5,18331.65,18036.5,18057.1,30791515,2718.88
12-AUG-2020,18077.15,18109.8,17900,18066,38941130,3368.34
13-AUG-2020,18141.35,18344.05,18032.9,18107.2,35340992,2884.53
14-AUG-2020,18137.3,18230.1,17994.65,18022.65,25683414,2195.16
17-AUG-2020,18136.65,18306.95,18103.3,18223.6,39287276,3022.73
18-AUG-2020,18318.6,18375.15,18209.55,18270.35,31630641,2614.88
19-AUG-2020,18340,18354.8,18187.55,18210.85,31996010,2725.21
20-AUG-2020,18181.4,18252.3,18083.25,18126.1,28969479,2335.4
21-AUG-2020,18266.9,18282.55,18047.95,18065.3,27400017,2288.84
24-AUG-2020,18092.55,18112.9,17915.6,18010.95,21939454,1920.94
25-AUG-2020,18028.8,18047.5,17914.5,17973.7,25259590,1971.61
26-AUG-2020,18022.7,18156.15,17940.7,18128,26805518,2223.23
27-AUG-2020,18231.95,18305.55,18075.75,18102.65,24755603,2380.8
28-AUG-2020,18216.3,18253.6,18093.45,18122,30027812,2679.75
31-AUG-2020,18163.25,18426.4,17791.85,17928.85,56325024,4576.48
01-SEP-2020,17954.6,18154.4,17775.65,17814.05,34706136,2814.37
02-SEP-2020,17860.65,18114.85,17858.3,18076.95,25978209,2217.39
03-SEP-2020,18148.25,18497.95,18108,18348.55,52661756,3941.28
04-SEP-2020,18049.2,18259.8,18012.8,18073.95,32772895,3094.19
07-SEP-2020,18093.05,18208.95,17962.35,18176.8,28440598,2712
08-SEP-2020,18304.25,18671.75,18213.55,18395.75,63093305,5622.38
09-SEP-2020,18264.2,18439.55,18193.45,18261.5,42012167,2947.7
10-SEP-2020,18385.95,18416.75,18217.1,18395.85,25919043,2187.11
11-SEP-2020,18347.65,18740.85,18338.1,18633.25,69088545,4551.69
14-SEP-2020,18804.85,19592.3,18799.55,19505.1,116474993,9616.84
15-SEP-2020,19511.5,19823,19392.35,19627.3,71513230,6190.49
16-SEP-2020,19642.3,19802.4,19533.7,19770.35,42624756,3662.37
17-SEP-2020,19660.45,20014.65,19605.05,19817.7,79572241,6788.83
18-SEP-2020,19889.95,20067.7,19777.75,19827.05,53710748,4762
21-SEP-2020,19855.55,20331.6,19683.85,19728.95,81628151,7075.42
22-SEP-2020,19813.35,20113.4,19376.7,19866.1,78060036,7040.32
23-SEP-2020,20016.8,20226.3,19615.15,19805.65,72280817,6843.17
24-SEP-2020,19630.3,19658,18914.7,18973,60442974,5920.78
25-SEP-2020,19108.75,19678.5,19077.85,19629.35,73896271,6856.57
28-SEP-2020,19774.75,19836.95,19463.65,19783,42999900,4166.92
29-SEP-2020,19891.05,20146.35,19782.35,19831.8,53165389,5471.17
30-SEP-2020,19880.6,20048.55,19741.65,19951.3,41295106,3794.8
01-OCT-2020,20129.8,20196.05,20009.3,20110.4,33451946,3009.59
05-OCT-2020,20375.9,20940.9,20341.45,20809,93778580,9655.6
06-OCT-2020,20995.3,20995.3,20573.9,20896.75,61586598,6036.88
07-OCT-2020,20897.55,21121.6,20771.65,21017.4,49333337,5463.82
08-OCT-2020,21531.85,22169.3,21501.95,21697.25,195719585,16871.49
09-OCT-2020,21703.45,21922.75,21540.65,21837.6,89098535,6963.25
