Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
02-JUN-2022,12407.4,12518.6,12376.7,12500.35,20159346,1716.04
03-JUN-2022,12556.8,12622.35,12401.65,12418.8,14930508,1249.67
06-JUN-2022,12406.6,12463.8,12360.6,12412.4,14022317,1107.57
07-JUN-2022,12352.85,12362.7,12189.65,12279.65,13785220,1318.08
08-JUN-2022,12279.9,12341.15,12170.45,12317.8,14918357,1268.59
09-JUN-2022,12284.8,12481.95,12228.1,12465.9,21435893,1623.68
10-JUN-2022,12363.7,12447.65,12330.2,12419.2,14167968,1133.23
13-JUN-2022,12288.25,12410.75,12130.65,12191.85,14765044,1316.55
14-JUN-2022,12140.3,12283.35,12135.75,12218.5,15454461,1233.34
15-JUN-2022,12248.4,12299.55,12204.75,12261.35,12718870,1060.14
16-JUN-2022,12321.6,12330.5,12022.45,12066.65,16234608,1319.44
17-JUN-2022,12000.65,12038.25,11745.05,11803.95,24864846,2263.08
20-JUN-2022,11815,11886.1,11726.4,11847.9,15746521,1112.14
21-JUN-2022,11887,12118.05,11882.7,12098.35,13504663,1053.37
22-JUN-2022,12050.65,12147.65,11893.15,11939.05,14561278,1231.53
23-JUN-2022,11969.95,12145.05,11947.9,12127.2,15785814,1063.86
24-JUN-2022,12173.25,12270.5,12150.55,12178.4,20248933,1203.77
27-JUN-2022,12275.8,12325.75,12200.1,12221.55,16653413,1173.78
28-JUN-2022,12224.4,12235.95,12100.85,12214.55,21905880,1406.5
29-JUN-2022,12139.45,12249.8,12099.35,12210.95,17976256,1487.01
30-JUN-2022,12176.15,12252.6,12110.2,12159.35,19725222,1646.3
01-JUL-2022,12124.45,12296.3,12084,12260.9,11405043,982.85
04-JUL-2022,12240.3,12344.55,12143.95,12218.2,9979317,907.22
05-JUL-2022,12254.65,12373.9,12217.4,12233.75,12477686,1152.74
06-JUL-2022,12264,12350.7,12220.4,12331.15,12714468,1109.85
