Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
03-JUN-2019,30019.95,30313.35,29956.3,30278.75,38563328,1965.63
04-JUN-2019,30254.1,30339.95,30150.75,30197.95,36086791,1617.07
06-JUN-2019,30313.1,30375,30010.1,30057.4,28037466,1489.63
07-JUN-2019,30098.1,30110.9,29793.6,29971.45,20464421,984.31
10-JUN-2019,30161.4,30437.25,30117.6,30360.9,22483520,1228.01
11-JUN-2019,30459.55,30466.9,30267.3,30311.3,20035966,1126.63
12-JUN-2019,30351,30433,30156.9,30379.25,17450219,900.9
13-JUN-2019,30351.5,30389.7,30162.6,30354.55,14875584,795.82
14-JUN-2019,30313.95,30356,29897.5,29966.1,16180099,867.27
17-JUN-2019,30019.4,30020.55,29657.25,29703.9,19005568,947.87
18-JUN-2019,29706.3,29733.55,29409.85,29580.75,29398576,1579.18
19-JUN-2019,29657.5,29789.8,29473.35,29585.4,19741541,950.38
20-JUN-2019,29467.15,29702.85,29357.1,29651.45,22642382,1043.21
21-JUN-2019,29642.8,29665.7,29388.5,29423.85,37626684,1870.56
24-JUN-2019,29440.7,29625.5,29406.85,29464.2,41483451,1548.66
25-JUN-2019,29424.85,29618.6,29285.65,29552.6,33851661,1387.56
26-JUN-2019,29508.05,29634.5,29440.85,29524.1,31551759,1665.6
27-JUN-2019,29591.25,29668.8,29429.95,29486.8,39820803,1824.21
28-JUN-2019,29544.2,29575.25,29446.65,29546.05,22332813,1190.89
01-JUL-2019,29630.1,29728.8,29579.4,29600.4,14018949,761.43
02-JUL-2019,29663.35,29750.9,29568.75,29710.95,20226219,1001.05
03-JUL-2019,29776.35,29850.35,29609.35,29812.65,28596202,1326.07
04-JUL-2019,29830.45,29924.75,29754.15,29889.45,21259166,1064.84
05-JUL-2019,29940.2,30151.3,29570.25,29973.25,50510430,1957.14
08-JUL-2019,29931.8,29999.95,29541.8,29594.65,23794696,1216.99
09-JUL-2019,29539.9,29550.55,29259.4,29321.3,19743464,1149.46
10-JUL-2019,29322.25,29495.8,29056.55,29154.05,19801803,1017.73
11-JUL-2019,29201.2,29370.55,29166.2,29293.65,16523982,813.68
12-JUL-2019,29269.05,29406.7,29157,29252,21635959,1128.03
15-JUL-2019,29288.95,29329,29023.85,29079.9,17628528,851.26
16-JUL-2019,29101,29420.5,29078.1,29366.6,19143296,1172.24
17-JUL-2019,29367.95,29631.7,29285.7,29614.25,21582629,1273.08
18-JUL-2019,29620.5,29674.25,29506.75,29553.9,23177175,1431.06
19-JUL-2019,29665.25,29685.95,28936.9,29027.55,31507031,1619.24
22-JUL-2019,29039.05,29054.75,28580.6,28714.95,25801704,1273
23-JUL-2019,28783,29043,28625.1,28990.9,27736970,1379.94
24-JUL-2019,28970.6,29105.05,28719.65,28992.5,29095096,1876.7
25-JUL-2019,29012.4,29225.25,28931.15,28983.55,32751167,1892.6
26-JUL-2019,28970.55,29172.05,28875.45,29142.3,13381422,818.28
29-JUL-2019,29126.6,29248.7,28881.4,28974.95,14447209,834.57
30-JUL-2019,28981.2,29051.55,28817.85,28864.6,22821542,1110.51
31-JUL-2019,28828.3,29157.25,28514.3,29065.95,24885801,1275.91
01-AUG-2019,29011.65,29120.1,28767.75,28925.35,26008573,1293.61
02-AUG-2019,28846.8,29066.7,28623.85,28930.75,28722521,1448.63
05-AUG-2019,28832.05,28882.6,28489.15,28777.55,24451312,1207.26
06-AUG-2019,28687.7,29045.1,28671.75,28847.35,23774162,1246.78
07-AUG-2019,28861.35,29055.8,28771.4,28814.55,22345599,1330.81
08-AUG-2019,28914.9,29165.9,28834.9,29131.8,20797582,1253.44
09-AUG-2019,29219.85,29365.1,29123.65,29302.2,22749012,1467.83
13-AUG-2019,29285.55,29292.3,28643.8,28728.5,36596139,1791.88
14-AUG-2019,28771.65,29021.75,28620.75,28839.6,25993375,1433.74
16-AUG-2019,28822.5,28965.95,28567.35,28889.95,20573084,1220.77
19-AUG-2019,28950.1,29204.1,28795.85,28837.5,24022924,1213.7
20-AUG-2019,28861.05,28872.85,28592.55,28669.85,24153166,1338.19
21-AUG-2019,28704.3,28720.7,28337.55,28399.1,30615494,1975.52
22-AUG-2019,28422.8,28746.4,28342.5,28396.15,23097045,1590.8
23-AUG-2019,28349.5,28422,28099.15,28257.1,29634215,1429.35
26-AUG-2019,28526.95,28779,28115.05,28707.8,26789257,1309.79
27-AUG-2019,28813.05,29079.7,28735.2,28927.25,32250553,2128.13
28-AUG-2019,28873.4,28978.45,28598.75,28815,27695889,1712.95
29-AUG-2019,28707.85,28930.35,28626.8,28751.8,28222760,1721.96
30-AUG-2019,28869.95,29318.2,28676,29257.35,28514514,1558.53
03-SEP-2019,29116.45,29142.3,28712.7,28766.9,21178244,1206.04
04-SEP-2019,28812.9,28989.6,28503,28725.65,22008508,1349.13
05-SEP-2019,28693.45,28879.25,28612.75,28710,19087482,1130.32
06-SEP-2019,28751.3,28851.7,28609.3,28649.75,16059055,853.22
09-SEP-2019,28679.75,28971,28616.95,28845.65,19008171,964.81
11-SEP-2019,28830.9,28909.65,28708.75,28759.35,25161449,1309.71
12-SEP-2019,28824.4,28881.9,28534.1,28575.2,21882372,1134.98
13-SEP-2019,28614.65,28678,28503.45,28592.05,26539799,1248.11
16-SEP-2019,28496.45,28796.45,28449.35,28751.75,19651323,1266.66
17-SEP-2019,28768.5,28903,28641.6,28675.3,26126766,1471.3
18-SEP-2019,28764.9,28821.2,28514.45,28752.15,31276999,1367.19
19-SEP-2019,28794.8,28814.7,28529.05,28575.6,21131302,1113.47
20-SEP-2019,28660.35,30003.6,28500.8,29835.35,94166643,4400.95
23-SEP-2019,30449.3,31813.8,30449.3,31120.1,87252141,4493.65
24-SEP-2019,31197.65,31401.05,30939.65,31312.4,32512629,1805.93
25-SEP-2019,31249.15,31281.75,30810.95,30925.95,37931229,1952.64
26-SEP-2019,30914.75,31185.5,30760.85,31027.7,39950950,2474.7
27-SEP-2019,30977,31343,30952.85,31026,31745350,1745.72
30-SEP-2019,31089.2,31193.35,30745.85,31134.5,32873305,1897.72
01-OCT-2019,31130.25,31341.75,30717.35,30801.35,28815493,1584.14
03-OCT-2019,30819.6,30831.2,30567.95,30791,26332585,1385.02
04-OCT-2019,30921.45,30991.75,30300,30327.15,33150151,1735.34
07-OCT-2019,30347.15,30527.45,30151.8,30218.1,30123304,1502.18
09-OCT-2019,30249.55,30370.95,30022.8,30269.15,34618805,1920.82
10-OCT-2019,30245.8,30323.25,30071.45,30147.2,32905944,1508.89
11-OCT-2019,30222.9,30498.25,30102.25,30416.2,37651431,1854.77
14-OCT-2019,30585.5,30699.9,30493.1,30591,26432735,1530.78
15-OCT-2019,30783.5,31059.6,30687.85,30927.9,26669990,2446.25
16-OCT-2019,30945.6,30980.25,30754.4,30899,26229295,1508.81
17-OCT-2019,30928.5,31358.55,30889.3,31331.9,28730635,1909.51
18-OCT-2019,31313.05,31544.2,31227.25,31501.45,26492156,1659.51
22-OCT-2019,31462.4,31842.8,31453.05,31659.4,35348738,2332.24
23-OCT-2019,31739.7,31939.45,31643.55,31899.55,26728900,2077.33
24-OCT-2019,32026.2,32089.75,31649.05,31752.8,28540362,1644.01
25-OCT-2019,32172.15,32176.4,31589.6,31685.6,46467826,2323.93
27-OCT-2019,31879.85,31918.35,31758.4,31803.45,4769954,220.1
29-OCT-2019,31828.7,31995.1,31526.7,31950.75,30676234,1822
30-OCT-2019,32229.85,32385.95,32039.8,32274.1,50326074,2291.03
31-OCT-2019,32310.1,32533.75,32208.1,32319.75,52892699,2539.32
01-NOV-2019,32396.1,32591.3,32338.25,32449.85,32862226,1820.28
04-NOV-2019,32541.1,32644.9,32228.3,32255.7,23829411,1494.17
05-NOV-2019,32257,32390.05,32064.75,32361.45,30820818,1975.62
06-NOV-2019,32360.6,32543.05,32181.9,32393,29055223,1994.11
07-NOV-2019,32587.8,32608.05,32340.75,32535.9,30953761,1969.59
08-NOV-2019,32489.55,32551.45,31907.4,31947.5,29030887,2101.78
11-NOV-2019,31928.4,32061.3,31751.65,31802.55,18384216,1339.77
13-NOV-2019,31913.9,31999.95,31525.15,31582.45,24491690,1871.28
14-NOV-2019,31587,31602.35,31347.65,31439.45,24733867,1520.14
15-NOV-2019,31447.15,31624.2,31235.3,31289.7,27814384,1396.27
18-NOV-2019,31342.95,31422.35,31076.65,31165.25,18848184,1212.14
19-NOV-2019,31241.1,31248.6,30924.75,30972.95,21805568,1240.83
20-NOV-2019,31009.3,31210.9,30786.3,31089.35,20591887,1294.87
21-NOV-2019,31128.75,31128.75,30839.45,30893.55,22273320,1333.13
22-NOV-2019,30964.15,31066.85,30745.15,30809.55,25036780,1259.81
25-NOV-2019,30798.9,31127.85,30783.15,31085.6,19187289,1231.8
26-NOV-2019,31137.8,31281,30912.1,31055.35,51029897,3803.89
