Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
02-JUN-2023,51135.85,51399.55,51026.95,51288.65,16483363,1598.38
05-JUN-2023,51373.2,51502.2,51026.9,51058.4,14340094,1459.79
06-JUN-2023,51134.85,51212.65,50783.15,51038.4,15438871,1449.32
07-JUN-2023,51143.3,51673.45,51066.9,51609.4,24886436,3236.14
08-JUN-2023,51696.95,51718,51091.5,51143.5,16622631,1753.96
09-JUN-2023,50930.9,51381.9,50605.75,50674.85,17253114,1939.97
12-JUN-2023,50792.1,50875.15,50553.25,50762.55,18002510,1590.55
13-JUN-2023,50897.05,51607.35,50794.1,51462.7,30301624,2601.4
14-JUN-2023,51526.5,51834.5,51441.9,51767.9,25957017,2469.03
15-JUN-2023,51901.25,52236.65,51840.8,52046.45,25499955,2348.1
16-JUN-2023,52159.65,52540.5,52112.6,52440.2,30377501,2711.32
19-JUN-2023,52486.2,52526.05,52063.7,52123.85,14744727,1393.24
20-JUN-2023,52101.8,52239.4,51809.15,52164.7,15719572,1563.84
21-JUN-2023,52209.6,52421.95,51763.55,51934.25,17763912,1741.78
22-JUN-2023,51934.95,51965.75,51516,51557.8,15360027,1328.56
23-JUN-2023,51527.8,51556.95,51124.5,51283.75,17095130,1499.97
26-JUN-2023,51415.95,51883.4,51346.9,51635,16464719,1476.26
27-JUN-2023,51702.3,51821.75,51477.55,51598.6,15200742,1361.5
28-JUN-2023,51683.45,51985.1,51590.9,51893.4,26341681,2194.46
30-JUN-2023,51943.75,52239.05,51759.45,52194.75,21355728,1770.93
03-JUL-2023,52299,52857.9,52061.1,52741.5,21368367,1723.11
04-JUL-2023,52870.15,52882.4,52390.55,52814.8,20330995,1793.84
05-JUL-2023,52845.45,53846.9,52720.1,53776.2,34071943,2920.21
06-JUL-2023,53969.45,53971.25,53557.65,53765.65,24725164,2642.22
07-JUL-2023,53758.6,53820.8,52847.85,52942.45,21260657,1927.67
10-JUL-2023,53071.35,53148.6,52484.5,52536.15,17040617,1664.44
11-JUL-2023,52609.5,53372,52544.4,53184.4,20126630,2148.07
12-JUL-2023,53511.55,53513.4,52944.5,53279.5,24312897,2223.59
13-JUL-2023,53453.4,53567.65,52946.4,53029.95,17698354,1680.69
14-JUL-2023,53151.3,53558.95,53094.45,53453.7,16263681,1677.49
17-JUL-2023,53536.35,53799.65,53351.6,53471.6,16558283,1544.93
18-JUL-2023,53558.45,53633.2,53245.9,53340.65,14504691,1400.43
19-JUL-2023,53366.45,53607.25,53078.55,53517.3,21491115,1732.55
20-JUL-2023,53561.55,54289.95,53309.8,54239.7,30770172,2361.71
21-JUL-2023,54015.55,54349.85,53511,53697.45,38919106,4154.24
24-JUL-2023,53843.95,53882.25,52615.4,52771.7,55560832,3938.77
