Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
02-JUN-2022,38332.05,38567.95,37952.2,38497.3,24903874,1618.38
03-JUN-2022,38638.3,38677.3,38212,38273.9,23111966,1613.07
06-JUN-2022,38190.15,38399.3,37741.35,38238.45,21912814,1485.12
07-JUN-2022,37940.6,38013.15,37494.8,37648.85,19679769,1394.88
08-JUN-2022,37632.4,37689.2,37121.65,37254.35,25152159,1591.19
09-JUN-2022,37229.4,37545,36862.55,37440.65,20303029,1371.51
10-JUN-2022,37083.45,37496.2,37059.9,37428.7,22052621,1662.66
13-JUN-2022,36999.25,37318.7,36929,37078.1,23576357,1681.89
14-JUN-2022,36979.05,37297.2,36820.2,36999.15,16567314,1262.73
15-JUN-2022,37072.4,37096.35,36756.2,36830.9,14199010,1167.83
16-JUN-2022,37098.2,37178.35,36440.15,36621.15,25585054,1595.67
17-JUN-2022,36519.95,36590.15,36024.05,36264.55,38327621,2724.19
20-JUN-2022,36300.1,37046.6,36179,36915.75,30576231,1849.88
21-JUN-2022,36990.95,37463.3,36879.5,37317.75,23852074,1482.1
22-JUN-2022,37092.75,37386.9,36883.15,36963.3,23511855,1564.9
23-JUN-2022,36998.95,37355.55,36943.55,37316.5,18274166,1219.87
24-JUN-2022,37449.25,37872.15,37449.25,37778.85,17940919,1358.19
27-JUN-2022,38027.1,38219.7,37875.15,38103.2,15747894,1234.43
28-JUN-2022,38035.1,38252.1,37712.2,38173.1,20061619,1304.71
29-JUN-2022,37862.45,37913.85,37605.1,37688.35,28038648,1816.96
30-JUN-2022,37637.35,37794.55,37415.8,37664.55,33170450,2154.28
01-JUL-2022,37562.45,38814.65,37428.4,38725.85,45052224,2077.41
04-JUL-2022,38761.3,39792.85,38761.3,39755.65,52302091,2730.81
05-JUL-2022,39895.9,39904.2,39619.95,39690.6,31797348,2188.64
06-JUL-2022,39589.4,40799.35,39589.4,40740.15,39964054,3473.09
07-JUL-2022,40906.45,41170.65,40650.25,40708.7,31305134,2600.2
