Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
02-JUN-2020,20120.6,20615.75,19852.55,20530.2,448324616,11334.54
03-JUN-2020,20966.6,21619.55,20822,20940.7,616871764,14189.77
04-JUN-2020,20932.35,21141.8,20316.2,20390.45,587859629,11840.17
05-JUN-2020,20516.4,21198.7,20425.05,21034.5,637447046,11950.42
08-JUN-2020,21636.1,21807.4,20911.25,21187.35,748110342,14784.22
09-JUN-2020,21295.5,21568.85,20629.7,20724.9,641246103,14242.32
10-JUN-2020,20760.95,21251.45,20671.55,21100.1,582992179,12121.73
11-JUN-2020,21084.7,21244.45,20458.3,20525.15,747065326,15002.14
12-JUN-2020,19529.3,20747.7,19526.1,20654.55,599190078,13935.65
15-JUN-2020,20457.15,20470.85,19740.2,19912.9,465009106,10707.3
16-JUN-2020,20500.65,20638.85,19507.05,20296.7,552448328,13903.52
17-JUN-2020,20137.45,20627.9,19978.15,20201.75,453526032,11014.55
18-JUN-2020,20137.6,21028.35,20030.35,20956.3,362837078,9472.12
19-JUN-2020,20970.1,21467.65,20878.25,21338.1,523371321,13175.29
22-JUN-2020,21491.55,22078.25,21425.55,21708.35,664606529,12224.92
23-JUN-2020,21859.25,22322.3,21647.8,22264.9,527935624,10872.51
24-JUN-2020,22479.35,22479.55,21336.35,21426.8,684574815,14467.17
25-JUN-2020,21218.05,21703.5,20926.45,21506.15,586179820,15602.68
26-JUN-2020,21735.05,21784.65,21320.1,21592.05,375592321,9898.51
29-JUN-2020,21291.55,21440.05,21026.45,21359,328004604,8606.69
30-JUN-2020,21524.3,21650.5,21212,21370.15,292655825,8208.92
01-JUL-2020,21354.1,22061.6,21281.85,21977.6,385956486,10267.97
02-JUL-2020,22133.8,22344.85,21890.5,21953.2,398994350,11077.87
03-JUL-2020,22101.75,22130.3,21768,21852.4,256179957,7084.5
06-JUL-2020,22270.95,22399.25,22171.05,22198.95,290921694,7884.54
07-JUL-2020,22254.3,22674.5,22040.35,22628,455766093,11652.55
08-JUL-2020,22700.9,23080.6,22499.5,22584.65,673130542,16312.4
09-JUL-2020,22753.15,22998.3,22673.4,22907.2,355982560,8998.85
10-JUL-2020,22720.95,22835.2,22320.05,22398.45,457099610,8969.63
13-JUL-2020,22613.25,22657.4,21981.65,22089.25,293704011,7516.64
14-JUL-2020,21877.6,21909.7,21222.45,21392.2,338499620,8134.81
15-JUL-2020,21634.25,21935.5,21230.55,21340.75,359145119,8748.15
16-JUL-2020,21453.25,21671.25,21027.85,21597.15,348563989,7838.97
17-JUL-2020,21608.05,22065,21550.8,21966.8,294921788,7404.45
20-JUL-2020,22307.3,22520.45,22187.8,22321.85,349653489,10172.45
21-JUL-2020,22639.85,22861.9,22597.95,22782,316649600,9744.39
22-JUL-2020,23159,23211.35,22658.2,22882.6,412721326,11349.74
23-JUL-2020,22854.85,23122.35,22734.9,23083.9,307580829,8038.76
24-JUL-2020,22853.2,22854.05,22417.2,22662.05,436264876,9908.17
27-JUL-2020,22664.6,22668.05,21801.35,21848.75,340888880,9407.53
28-JUL-2020,21940.15,22233,21611.4,22105.2,379785455,11478.58
29-JUL-2020,22075,22346.4,21906.35,22076.6,400357048,10163.56
30-JUL-2020,22195.05,22252.6,21580.15,21646.85,299568955,7662.27
31-JUL-2020,21730.55,21806.95,21375,21640.05,397341689,9345.2
03-AUG-2020,21543.8,21543.8,21031.45,21072.1,431029295,11151.87
04-AUG-2020,21248.25,21576.35,21057.75,21490.5,297019822,9152.34
05-AUG-2020,21686.85,21936.5,21448.4,21509.95,338829581,8818.01
