Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
02-JUN-2021,27051.4,27118.7,26737.15,26939.65,27380923,3720
03-JUN-2021,27088.45,27159.95,26855.2,26987.9,19795563,2465.23
04-JUN-2021,27031.6,27167.5,26914.6,26996.75,18397467,2498.86
07-JUN-2021,27078.4,27330.4,26997.8,27295.65,18628299,2669.81
08-JUN-2021,27400.8,27732.35,27376.95,27623.8,29940309,4369.29
09-JUN-2021,27691.3,27793.8,27436.35,27539,23642901,3272.02
10-JUN-2021,27676.5,27822.1,27649.95,27798,20383002,2659.28
11-JUN-2021,27866.25,28347.5,27820.5,28217.5,29212259,4541.96
14-JUN-2021,28371.9,28467.35,28134.65,28314.1,21903807,3113.72
15-JUN-2021,28384.7,28544.6,28325.9,28377.85,18480609,2613.8
16-JUN-2021,28384.15,28600.2,28241.25,28448.85,22220432,3200.2
17-JUN-2021,28355.15,28714.6,28343.05,28611.35,23172086,3406.7
18-JUN-2021,28829.5,28934.05,28227.55,28445.6,39693909,5512.37
21-JUN-2021,28224.1,28393.05,28083.75,28367,15825304,2077.85
22-JUN-2021,28514.15,28656.4,28396.5,28523.55,20047827,2718.08
23-JUN-2021,28719.65,28719.65,28229.35,28258.5,25753497,2903.22
24-JUN-2021,28395.45,29098.95,28357.3,29048,34524420,5102.99
25-JUN-2021,29176.75,29284,28874.6,29210.55,27880485,4196.52
28-JUN-2021,29259.6,29259.6,28977.75,29068.55,14668333,2173.69
29-JUN-2021,29049.65,29183.85,28934.15,28986.25,21706364,2819.27
30-JUN-2021,29057.15,29311.55,29036.95,29168,18722780,2863.72
01-JUL-2021,29193.05,29193.05,28953.05,29003.1,15933961,2209.64
02-JUL-2021,28983.5,29028.35,28704,29007.95,16424169,2600.3
05-JUL-2021,29117.45,29185.6,28907.75,28950.6,16465185,2550.76
06-JUL-2021,28924,28986.1,28607.6,28649.4,18246382,2708.73
07-JUL-2021,28708.6,28790.3,28381.3,28734.65,21080271,3044.06
08-JUL-2021,28821.75,28934.45,28541.95,28748.95,17206897,2784.85
09-JUL-2021,28669.2,28898.85,28549.25,28662.2,24070315,4462.57
12-JUL-2021,28837.05,28854.55,28421.55,28532.35,16936699,2506.25
13-JUL-2021,28674.7,28681.2,28381.9,28439.75,17113894,2524.28
14-JUL-2021,28581.25,29376.9,28534.85,29339.85,57040860,7509.41
15-JUL-2021,29303.35,29835.9,29284.8,29718.05,68350560,8324.41
16-JUL-2021,29734.75,29734.75,29287.25,29400.25,57905845,5515.9
