Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
02-JUN-2020,1967.85,1976.05,1936,1956.1,167542617,1983.07
03-JUN-2020,1980.85,1995.6,1943.85,1952.7,140729429,1651.55
04-JUN-2020,1951.75,1979.3,1939.3,1972.9,179091774,2085.3
05-JUN-2020,1995.9,2057.05,1990.15,2049.7,264439637,3363.83
08-JUN-2020,2088.25,2105.65,2029.7,2044.85,214880748,2490.59
09-JUN-2020,2060.45,2076.55,2013.85,2022.5,157991339,1898.77
10-JUN-2020,2020.3,2029.8,1995.05,2010.8,134301641,1819.16
11-JUN-2020,2000.75,2019.35,1948.3,1954.85,119795934,1467.58
12-JUN-2020,1873.4,1972.75,1872.4,1966.1,137656103,1720.77
15-JUN-2020,1966.3,1967,1915.95,1928.55,147660917,1984.7
16-JUN-2020,1976.85,2001.05,1918.05,1955.9,212262130,2711.23
17-JUN-2020,1947.5,1974.85,1935.3,1940.45,118634682,1404.5
18-JUN-2020,1937.25,2005.45,1931.65,1998.65,158618839,1861.5
19-JUN-2020,2021.4,2026.45,1988.1,1997.55,185813648,2076.45
22-JUN-2020,2001.05,2056.35,1995.7,2049.8,152881736,1669.29
23-JUN-2020,2064.1,2096.45,2056.65,2085.8,176948330,1935.26
24-JUN-2020,2114.5,2123.6,2034.55,2042.35,225322334,2767.16
25-JUN-2020,2020.05,2055.95,2013.25,2030.8,200838104,2193.43
26-JUN-2020,2052.3,2066.45,2037,2043.35,131711582,1562.55
29-JUN-2020,2034.35,2036.7,1964.35,1989.5,134062622,1576.38
30-JUN-2020,2007.2,2041.3,1985.35,1991.35,194179512,2837.34
01-JUL-2020,1999.6,2006.95,1976.05,1997.35,106074475,1376.78
02-JUL-2020,2011.15,2020.8,1995.45,2017,117944585,1397.06
03-JUL-2020,2027.7,2031.25,1999.3,2008.5,126758444,1398.9
06-JUL-2020,2024.35,2069.95,2013.7,2058.15,175224450,2019.24
07-JUL-2020,2065.1,2065.1,2019.3,2022.6,148281391,1479.53
08-JUL-2020,2031.65,2101.1,2027.5,2054.3,448246662,3599.17
09-JUL-2020,2072.1,2121.75,2071.35,2094.3,271245984,3258.06
10-JUL-2020,2081.45,2086.15,2054.6,2078.2,181548682,2028.35
13-JUL-2020,2098.2,2118.65,2087.6,2105.15,206644242,2097.16
14-JUL-2020,2094.65,2094.65,2042.8,2052.45,116837461,1343.18
15-JUL-2020,2069.65,2091.2,2048,2055.75,106981675,1368.27
16-JUL-2020,2054.5,2077.8,2018.55,2070.65,140611195,1759
17-JUL-2020,2087.5,2130.5,2083.7,2103,214920897,2714.39
20-JUL-2020,2115.45,2122.8,2094.6,2106,105406879,1370.75
21-JUL-2020,2122.6,2126.1,2090.3,2118.6,128613942,1601.4
22-JUL-2020,2128.55,2168.7,2092.75,2113.95,209962750,2801.94
23-JUL-2020,2120.9,2138.35,2113.05,2131.4,88223809,1255.02
24-JUL-2020,2112.4,2117.15,2071.25,2087.5,105128699,1387.47
27-JUL-2020,2094.35,2107.05,2064.5,2094.4,106579664,1600.32
28-JUL-2020,2101.7,2144.55,2101.6,2141.3,128501352,1704.05
29-JUL-2020,2138.75,2192.3,2131.95,2160.75,160660857,2459.75
30-JUL-2020,2170.2,2178.45,2123.4,2135.15,192324487,2223.67
31-JUL-2020,2137.05,2158.3,2122.1,2147.3,93918089,1216.15
03-AUG-2020,2149.1,2181.55,2133.4,2156.15,112092048,1472.9
04-AUG-2020,2168.8,2185.75,2155.4,2177.35,91255160,1476.42
05-AUG-2020,2190.7,2272.75,2190.35,2263.8,240099199,3257.14
06-AUG-2020,2268.05,2301.4,2255.6,2294.75,151521842,2332.43
07-AUG-2020,2286.45,2319.9,2280.5,2314.35,112004310,1725.3
10-AUG-2020,2322.45,2337.2,2295.65,2332,96606951,1515.19
11-AUG-2020,2349.65,2407.95,2349.65,2370.65,219961951,3331.25
12-AUG-2020,2352.05,2359.15,2320.9,2354.8,103343433,1711.84
13-AUG-2020,2370.7,2403.05,2359.85,2380.65,114247218,2055.85
14-AUG-2020,2384.85,2454.3,2377.7,2405.8,192468239,4054.97
17-AUG-2020,2420,2470.3,2414.7,2464.25,132353624,2590.9
18-AUG-2020,2469.45,2515.75,2455.1,2507.5,128228900,2112.45
19-AUG-2020,2518.15,2521.75,2498.95,2513.15,131809344,1790.33
20-AUG-2020,2479.3,2545,2471.95,2538.9,148700143,2488.37
21-AUG-2020,2562.35,2579.45,2517.05,2523.6,150122407,2295.15
24-AUG-2020,2545.75,2552.25,2521.2,2526.1,101737466,1665.8
25-AUG-2020,2541.85,2542.45,2493.4,2507.5,121952253,1715.98
26-AUG-2020,2513.25,2540.75,2505.45,2527.8,118139617,1614.15
27-AUG-2020,2531.95,2551.5,2513.55,2531.05,145430727,1604.74
28-AUG-2020,2539.4,2570.65,2517.35,2520.35,232943434,2824.87
31-AUG-2020,2524.7,2533.1,2410.5,2420.6,192871136,2778.47
01-SEP-2020,2424.7,2507,2421.15,2496.75,135303022,2284.75
02-SEP-2020,2512.8,2548.25,2500.7,2541.35,123598735,1946.85
03-SEP-2020,2551.9,2556.35,2518.5,2527.3,98171054,1574.6
04-SEP-2020,2476.55,2511.95,2442.05,2451.35,109988206,1884.48
07-SEP-2020,2456.75,2480.15,2433.45,2450.05,84737051,1316.75
08-SEP-2020,2456.85,2457.3,2365.25,2376.85,133629994,1588.3
09-SEP-2020,2339.35,2407.5,2302.4,2397.2,170670989,2972.26
10-SEP-2020,2423.2,2426.65,2336.1,2369.8,125972629,2164.47
11-SEP-2020,2376.8,2389.65,2353.95,2384.3,99992921,1591.83
14-SEP-2020,2401.45,2416.5,2375.5,2387.05,99708180,1638.02
15-SEP-2020,2402.4,2411.2,2380.95,2385.55,104193819,1407.77
16-SEP-2020,2389.85,2405.5,2381.8,2396.35,110726973,1501.18
17-SEP-2020,2382.95,2397.55,2352.8,2363.3,121886756,1680.85
18-SEP-2020,2374.2,2389.15,2354.2,2362.2,119276523,2093.54
21-SEP-2020,2367.2,2368.3,2229.15,2240.35,128751817,2034.17
22-SEP-2020,2239.65,2242.3,2163.4,2213.95,146311691,2335.73
23-SEP-2020,2232.2,2239.9,2168.9,2205.25,138856426,1945.59
24-SEP-2020,2165.5,2172.15,2107.55,2111.85,131221036,1661.16
25-SEP-2020,2134.95,2180.65,2112.4,2172.65,114755381,1659.43
28-SEP-2020,2198.4,2249.1,2189.55,2237,91102908,1400.4
29-SEP-2020,2253.95,2293.35,2244.95,2280.9,154951218,2366.44
30-SEP-2020,2284.75,2285.7,2228.2,2242.55,110367011,1542.6
01-OCT-2020,2266.05,2291.4,2256.65,2261.25,87981299,1265.81
05-OCT-2020,2280.1,2328.1,2276,2318.85,107856475,1815.83
06-OCT-2020,2340.05,2345.65,2290.05,2302.7,93220316,1606.44
07-OCT-2020,2300.3,2303.9,2256.2,2267.75,94464353,1375.01
08-OCT-2020,2276.5,2305.75,2260.2,2272.4,137906796,1766.27
09-OCT-2020,2286.3,2322.65,2255.7,2260.85,153376414,2352.6
12-OCT-2020,2279.6,2287.8,2218.2,2240.85,97423191,1563.11
13-OCT-2020,2238.5,2262.05,2234,2249.65,67596705,1186.65
14-OCT-2020,2247.5,2257.8,2223.15,2251.95,106960388,1488.69
15-OCT-2020,2266.4,2292.6,2232.7,2240.95,114752237,2323.08
16-OCT-2020,2252.9,2339.65,2239.75,2329.85,120980628,2524.82
19-OCT-2020,2350.6,2374.8,2323.6,2367.85,117558250,2157.52
20-OCT-2020,2356.25,2374.75,2344.05,2363.35,84900588,1466.16
21-OCT-2020,2376.65,2429.2,2372.85,2416.05,141406858,2781.57
22-OCT-2020,2409.4,2440.85,2394.75,2432.5,135935043,2248.23
23-OCT-2020,2447.05,2462.1,2431.55,2443,119199465,2392.79
26-OCT-2020,2432.8,2434.75,2331.4,2357.55,114856120,2217.41
27-OCT-2020,2355.9,2376.85,2328.75,2359.6,97169076,1759.26
28-OCT-2020,2360.95,2385.7,2315.75,2325.4,97068481,1811.96
29-OCT-2020,2305.5,2323.15,2279.45,2307.7,89584713,1518.36
30-OCT-2020,2315.5,2354.4,2295.65,2343.6,119684440,2016.59
02-NOV-2020,2350.8,2354.85,2325.2,2338.9,90717789,1579.77
03-NOV-2020,2355.6,2396.35,2354.95,2391.2,101899964,1827.37
04-NOV-2020,2389.3,2413.5,2362.65,2383.8,83720519,1645.98
05-NOV-2020,2416,2497.15,2402.3,2488.65,207356248,2785
06-NOV-2020,2486.35,2512.5,2475,2500.35,125226866,1995.69
09-NOV-2020,2525.65,2551.45,2502.2,2545.25,106613021,1755.23
10-NOV-2020,2560.85,2577.05,2531.2,2556.7,117963917,2420.96
11-NOV-2020,2562.6,2662.1,2547.85,2645.05,198261111,3756.98
12-NOV-2020,2649.9,2658.15,2614.4,2636.9,169516409,3024.39
13-NOV-2020,2626.45,2684.45,2606.25,2681,105432548,2196.1
14-NOV-2020,2708.15,2712,2679.7,2694.15,25499235,587.28
17-NOV-2020,2723.15,2777.55,2718.8,2761.35,194105864,5024.98
18-NOV-2020,2749.45,2776.8,2732.85,2772.5,116528839,2113.76
19-NOV-2020,2757.1,2828.2,2743.55,2752.65,157757120,2945.46
20-NOV-2020,2765.65,2809.9,2732.85,2774.75,138487847,2976.1
23-NOV-2020,2792.9,2820,2779.5,2808.6,159740003,2506.96
24-NOV-2020,2827.5,2846.75,2803.25,2839.15,111624500,2057.69
25-NOV-2020,2850.65,2873.65,2808.4,2816.55,136074720,2520.85
26-NOV-2020,2829,2933.7,2804.3,2925.05,177849686,3002.39
27-NOV-2020,2934.75,2963.75,2903.35,2925.75,301742366,5713.39
01-DEC-2020,2968.85,2982.4,2935.7,2974.05,141144554,2354.94
02-DEC-2020,2978.75,3061.55,2977.8,3050.2,266162312,4251.17
03-DEC-2020,3076.05,3132,3070.7,3126.1,193002201,3774.59
04-DEC-2020,3144.7,3193.55,3100.55,3161.35,223859728,4112.28
07-DEC-2020,3168.25,3202.35,3142.95,3161.2,175668913,2874.28
08-DEC-2020,3173.35,3182.05,3083.1,3122.35,158186381,2806.2
09-DEC-2020,3146.9,3152.95,3101.85,3105.9,128397535,2328.72
10-DEC-2020,3099.9,3123.95,3056.7,3113.05,135875634,2702.13
11-DEC-2020,3127.45,3178.75,3126.75,3146.1,215210693,3023.82
14-DEC-2020,3178.05,3220.65,3173.5,3189.5,190558647,3164.83
